,Unnamed: 0,date,prcp,tmax,tmin,vp,srad,runoff
4747,4747,1993-01-03,6.664252843962737,-7.685306845664637,-14.49886353457542,200.8303027588678,112.67946076675028,0.4096
4748,4748,1993-01-04,2.719906934398513,-5.190060896072197,-12.775620857219634,231.17316821927625,128.5664860265138,0.4168
4749,4749,1993-01-05,0.0495807971633151,-7.473941071748477,-15.205406328376926,191.3355652096023,163.46764152633466,0.3984
4750,4750,1993-01-06,0.0,-5.545697246730563,-17.579952861877462,158.29606323898244,209.84190254389108,0.384
4751,4751,1993-01-07,0.6485237933452391,-6.786775573271229,-19.911145758688644,127.68528305266928,214.02740953063417,0.32
4752,4752,1993-01-08,3.330734531753852,-7.85850585587603,-18.159043577570763,146.9664098889287,176.06939716947332,0.256
4753,4753,1993-01-09,1.152945135452123,-11.474156608294518,-18.87087821345396,141.9707318165532,151.59520557147977,0.288
4754,4754,1993-01-10,0.2116803969161478,-6.532020473172698,-17.506377922339663,157.295391436761,207.8383195987101,0.24
4755,4755,1993-01-11,0.1508169307455885,-7.923350165711215,-18.691301280902906,141.31046219992834,208.19424041562164,0.24
4756,4756,1993-01-12,0.0,-7.08403825913651,-18.461544921175207,144.00006718022215,217.12504478681475,0.24
4757,4757,1993-01-13,3.250738282649588,-6.166098200689717,-18.74201675026872,141.26959423145826,188.94728591902543,0.224
4758,4758,1993-01-14,2.8977426045772123,1.1010641592115282,-11.495822229935508,254.25179147259047,184.7771408097456,0.288
4759,4759,1993-01-15,0.0,-0.248910770669115,-11.273966544249372,260.79789949838766,219.11606503045505,0.4
4760,4760,1993-01-16,3.1288607633912577,-2.1168792407515227,-11.855708079541383,249.2884270870656,165.56395557147977,0.48
4761,4761,1993-01-17,0.0,-0.0904908626150461,-9.39780348665353,302.25698674310286,203.9949166965245,0.448
4762,4762,1993-01-18,0.0,-1.969591502261734,-12.403103726262987,237.5464215335005,220.59776961662487,0.4
4763,4763,1993-01-19,5.709208309073809,0.3127767685193479,-9.377384897886062,300.6705481906127,161.4143004299534,0.384
4764,4764,1993-01-20,10.983668907873522,1.5180258181991222,-5.487584954989251,406.1480204227875,127.31271273737012,0.46
4765,4765,1993-01-21,12.513249899229669,-1.2012002166562163,-4.901361589148155,426.75788247939806,74.557002418488,0.516
4766,4766,1993-01-22,14.76449973127911,-1.746986687119312,-8.45493746640989,330.10583124328195,131.41473710139735,0.5
4767,4767,1993-01-23,2.238971596761913,-5.203285252821569,-10.676675586707274,274.9207049444644,134.94408366176998,0.4616
4768,4768,1993-01-24,19.09181996820136,-1.189559318736564,-9.032156932998925,310.46873880329633,153.48470530275887,0.4488
4769,4769,1993-01-25,11.567831730338588,1.5364242766929417,-2.493052620308581,508.7230383375135,84.775282156933,0.5032
4770,4770,1993-01-26,0.0,3.546811318747761,-3.992955873790756,457.7079899677535,199.3416114295952,0.616
4771,4771,1993-01-27,0.0,4.271716356704586,-5.848273118393945,396.46806700107487,244.33885704048728,0.588
4772,4772,1993-01-28,0.0,2.545693397863669,-4.207753437388033,447.7498208527409,186.2582295772125,0.5472
4773,4773,1993-01-29,0.0,0.0876710974414132,-6.680884847500896,374.7831870297384,192.50906932998925,0.5184
4774,4774,1993-01-30,0.0,4.901991753627732,-8.825267041383016,317.20931117878894,289.2089304908635,0.492
4775,4775,1993-01-31,0.0,5.264933603547116,-7.072508453511286,360.44524811895377,281.41824166965245,0.4728
4776,4776,1993-02-01,0.0,3.05960250302311,-10.92773507479398,268.9994401648155,294.82105428161947,0.468
4777,4777,1993-02-02,0.0,3.67699399296847,-9.78256911165353,293.39481816553206,294.92354890720173,0.452
4778,4778,1993-02-03,0.0,5.236753599740236,-9.01251231637406,309.60679415979934,301.3386107130061,0.4728
4779,4779,1993-02-04,0.0,7.476929192045862,-7.16177697285919,357.385524901469,303.7045413830168,0.476
4780,4780,1993-02-05,0.0,7.557875761375851,-7.737058709915801,342.1870521318524,312.09494804729485,0.4864
4781,4781,1993-02-06,0.0,4.681440483921533,-7.382841891347187,352.53753135077034,288.88252418488,0.4832
4782,4782,1993-02-07,0.0,6.843400103009674,-4.730981698987818,431.2816642780365,285.4138301683984,0.4696
4783,4783,1993-02-08,2.565782733563239,6.936929667905768,-7.786183547563597,340.5239609458975,265.62779917592263,0.4752
4784,4784,1993-02-09,5.543926767959513,0.8657435625951719,-4.996861423996776,421.6009046936582,130.6848351845217,0.5008
4785,4785,1993-02-10,0.1487674637961584,0.6882121278495611,-5.169362389712469,421.6908814045145,182.6719925653888,0.5304
4786,4786,1993-02-11,4.290032414457184,2.019874673896005,-6.716087283903619,375.0858115370835,193.8496282694375,0.5216
4787,4787,1993-02-12,4.503013312880688,0.6492404261185507,-4.156753851666069,451.1916875671802,124.225658366177,0.5344
4788,4788,1993-02-13,1.1647187318053565,-0.6775779710453242,-4.727387907000179,433.6377642422071,130.05540128986027,0.54
4789,4789,1993-02-14,2.494976703858384,-0.8082874151849695,-7.8385029447330705,349.4358428878538,211.4137405947689,0.5352
4790,4790,1993-02-15,0.0,-11.457714248925116,-20.743309969544967,126.34256314940882,300.3745521318524,0.488
4791,4791,1993-02-16,0.0,-12.990333045951273,-24.39872861429595,88.61544921175206,339.1281574704407,0.3696
4792,4792,1993-02-17,1.407563513301684,-5.462784256314941,-24.082864004836978,89.31564067538517,358.19041114295953,0.3344
4793,4793,1993-02-18,11.483157358473663,-4.494679466365102,-15.456556789681118,183.990885883196,250.7755284844142,0.4264
4794,4794,1993-02-19,6.850896296130419,0.248835520947633,-8.905270288427086,314.8065657470441,241.1585901110713,0.4736
4795,4795,1993-02-20,2.557248221123701,0.030666393688698,-11.317742856503044,264.17811716230744,299.4922742744536,0.496
4796,4796,1993-02-21,10.95375761375851,-3.613801196927625,-13.847380531171623,213.1370028663561,248.43593246148333,0.4752
4797,4797,1993-02-22,0.1836976038004411,-3.6684953449704407,-13.18102830526693,224.93875403081333,314.0818255105697,0.4528
4798,4798,1993-02-23,0.0,-0.7615119608787173,-13.187248074166964,223.6992117520602,372.5479218917951,0.4312
4799,4799,1993-02-24,0.0,-3.0370799836528124,-14.203346134897886,207.1742654962379,351.0169965962021,0.42
4800,4800,1993-02-25,0.0,-1.7266608210542815,-15.856266515137944,184.94450913651025,390.16051594410607,0.4144
4801,4801,1993-02-26,0.0,-0.7317664304628717,-16.58137904201003,168.75933805087783,416.86684879971335,0.424
4802,4802,1993-02-27,0.0,1.8609316917099603,-16.004106391078466,176.8521923145826,431.5334109638122,0.4104
4803,4803,1993-02-28,1.133833761840514,7.092390300295593,-12.758913975725546,230.08258688642064,395.5459960587603,0.4088
4804,4804,1993-03-01,1.82090277622268,7.477868315567897,-10.022831478412757,286.2374372984593,365.3090738086708,0.4048
